"MONTO"	"CLASE"	"MARCA"	"MODELO"	"CLASEPOLIZA"	"ZONA"	"SEXO"	"EDAD"	"VALOR"
0.999321	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E3"	"V2"
0.468691	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
1.242127	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E5"	"V2"
4.822247	"AU"	"KO"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E3"	"V2"
3.143056	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E3"	"V2"
4.402466	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V3"
1.759347	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
0.445168	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
0.79662	"AU"	"RE"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
1.067021	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V2"
1.4	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
1.242072	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
2.750413	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E5"	"V2"
0.817102	"AU"	"MZ"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
8.244646	"AU"	"EU"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
1.722721	"AU"	"KO"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.738753	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V2"
6.65969	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E3"	"V3"
2.239893	"AU"	"KO"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V3"
1.338253	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.455097	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E5"	"V4"
2.892904	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V4"
6.110285	"AU"	"JA"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E5"	"V4"
1.198061	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E3"	"V2"
4.590244	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V2"
4.609821	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.955158	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
2.224609	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
7.816532	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E3"	"V3"
0.7303	"AU"	"MZ"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E5"	"V4"
0.486754	"AU"	"EU"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
3.383707	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
